S/N,Latitude,Longitude,Location,LGA,State,24hr,3day,7day
295,4.94263,7.47962,Outer Mbo,Mbo,Akwa Ibom,LOW,LOW,CRITICAL
296,7.37455,12.08639,Zing Market,Zing,Taraba,MODERATE,MODERATE,HIGH
297,10.76997,4.52309,Shanga Layout,Shanga,Kebbi,CRITICAL,HIGH,HIGH
298,13.91202,5.51553,Silame Extension,Silame,Sokoto,HIGH,HIGH,LOW
299,11.60413,6.00895,Bukkuyum GRA,Bukkuyum,Zamfara,MODERATE,LOW,CRITICAL
300,6.52943,3.59241,Border Ikeja,Ikeja,Lagos,CRITICAL,LOW,LOW
301,12.30563,8.43529,Fagge Community,Fagge,Kano,CRITICAL,LOW,LOW
302,4.84877,7.03349,Okrika Layout,Okrika,Rivers,MODERATE,MODERATE,LOW
303,10.33022,8.15187,Igabi Extension,Igabi,Kaduna,LOW,MODERATE,CRITICAL
304,5.98964,6.97605,Nnewi South GRA,Nnewi South,Anambra,MODERATE,HIGH,MODERATE
305,5.46049,5.97226,Inner Ethiope West,Ethiope West,Delta,MODERATE,CRITICAL,MODERATE
306,7.44709,3.82081,Ogbomosho South Town,Ogbomosho South,Oyo,MODERATE,HIGH,LOW
307,11.2,12.73945,Kala Layout,Kala-Balge,Borno,LOW,CRITICAL,HIGH
308,6.56793,7.59615,Awgu Extension,Awgu,Enugu,LOW,MODERATE,LOW
309,10.23239,5.10043,Katcha GRA,Katcha,Niger,CRITICAL,MODERATE,HIGH
310,8.92056,9.88536,South Quan Pan,Quan Pan,Plateau,LOW,MODERATE,MODERATE
311,6.33424,8.8055,Odukpani Quarter,Odukpani,Cross River,MODERATE,MODERATE,HIGH
312,5.81485,7.17778,Ngor Okpala Layout,Ngor Okpala,Imo,MODERATE,LOW,LOW
313,11.46248,9.95625,Shira Extension,Shira,Bauchi,HIGH,LOW,HIGH
314,7.38006,9.52083,Apa GRA,Apa,Benue,MODERATE,CRITICAL,LOW
315,5.1965,7.41004,Upper Uyo,Uyo,Akwa Ibom,MODERATE,MODERATE,LOW
316,8.63341,11.86317,Wukari Market,Wukari,Taraba,CRITICAL,CRITICAL,MODERATE
317,11.59315,5.39305,Yauri Layout,Yauri,Kebbi,HIGH,CRITICAL,MODERATE
318,13.71428,5.7652,Dange Extension,Dange-Shuni,Sokoto,MODERATE,HIGH,LOW
319,12.46992,6.99313,Bungudu GRA,Bungudu,Zamfara,MODERATE,CRITICAL,MODERATE
320,6.58991,3.22295,Upper Kosofe,Kosofe,Lagos,HIGH,MODERATE,MODERATE
321,12.21498,8.7945,Kumbotso Junction,Kumbotso,Kano,MODERATE,MODERATE,MODERATE
322,4.7208,7.39787,Oyigbo Layout,Oyigbo,Rivers,CRITICAL,LOW,MODERATE
323,10.9076,7.70445,Sanga Extension,Sanga,Kaduna,LOW,MODERATE,CRITICAL
324,6.02379,7.11839,Aguata GRA,Aguata,Anambra,HIGH,CRITICAL,MODERATE
325,5.45062,6.23571,Inner Isoko North,Isoko North,Delta,LOW,MODERATE,CRITICAL
326,7.4632,4.08702,Akinyele Camp,Akinyele,Oyo,CRITICAL,MODERATE,LOW
327,10.85975,14.25241,Guzamala Layout,Guzamala,Borno,HIGH,LOW,CRITICAL
328,6.5029,7.44896,Ezeagu Extension,Ezeagu,Enugu,MODERATE,MODERATE,LOW
329,9.36633,6.35404,Edati GRA,Edati,Niger,HIGH,HIGH,HIGH
330,9.72382,9.94779,West Jos North,Jos North,Plateau,HIGH,MODERATE,HIGH
331,5.4534,8.84818,Calabar South District,Calabar South,Cross River,CRITICAL,MODERATE,HIGH
332,5.56731,7.16433,Owerri West Layout,Owerri West,Imo,HIGH,LOW,HIGH
333,10.41169,9.89463,Toro Extension,Toro,Bauchi,MODERATE,CRITICAL,HIGH
334,6.91665,9.60446,Vandeikya GRA,Vandeikya,Benue,MODERATE,LOW,MODERATE
335,4.70833,7.50651,Lower Etinan,Etinan,Akwa Ibom,LOW,LOW,HIGH
336,7.68316,11.03458,Lau Estate,Lau,Taraba,LOW,MODERATE,CRITICAL
337,12.29975,5.21192,Gwandu Layout,Gwandu,Kebbi,LOW,CRITICAL,LOW
338,13.7928,4.20463,Isa Extension,Isa,Sokoto,HIGH,CRITICAL,CRITICAL
339,12.51183,6.61253,Maru GRA,Maru,Zamfara,HIGH,MODERATE,MODERATE
340,6.47275,3.51808,West Ikorodu,Ikorodu,Lagos,HIGH,CRITICAL,MODERATE
341,12.15557,8.40135,Bebeji Settlement,Bebeji,Kano,MODERATE,MODERATE,LOW
342,4.75278,7.33575,Ahoada East Layout,Ahoada East,Rivers,MODERATE,CRITICAL,LOW
343,10.64257,7.82158,Ikara Extension,Ikara,Kaduna,LOW,MODERATE,MODERATE
344,6.10836,7.11947,Anaocha GRA,Anaocha,Anambra,HIGH,MODERATE,MODERATE
345,5.72406,6.42186,Central Warri South,Warri South,Delta,CRITICAL,LOW,HIGH
346,8.14123,4.07236,Ibadan South District,Ibadan South-East,Oyo,CRITICAL,CRITICAL,MODERATE
347,11.40103,13.93899,Konduga Layout,Konduga,Borno,LOW,MODERATE,MODERATE
348,6.56188,7.68605,Igbo Extension,Igbo-Eze North,Enugu,MODERATE,MODERATE,HIGH
349,10.42025,5.59746,Suleja GRA,Suleja,Niger,LOW,LOW,MODERATE
350,9.30376,9.61483,South Bassa,Bassa,Plateau,HIGH,LOW,MODERATE
351,6.58368,8.32243,Etung Estate,Etung,Cross River,HIGH,CRITICAL,MODERATE
352,5.79747,7.0917,Ideato North Layout,Ideato North,Imo,LOW,MODERATE,LOW
353,10.60947,9.88217,Kirfi Extension,Kirfi,Bauchi,MODERATE,CRITICAL,LOW
354,6.78885,8.75627,Tarka GRA,Tarka,Benue,HIGH,MODERATE,CRITICAL
355,5.15368,8.04564,Border Mbo,Mbo,Akwa Ibom,HIGH,CRITICAL,HIGH
356,7.81642,10.62173,Zing Junction,Zing,Taraba,HIGH,HIGH,HIGH
357,10.76035,5.68001,Shanga Layout,Shanga,Kebbi,HIGH,MODERATE,MODERATE
358,12.66048,5.68531,Silame Extension,Silame,Sokoto,CRITICAL,LOW,HIGH
359,12.88802,7.17286,Bukkuyum GRA,Bukkuyum,Zamfara,HIGH,LOW,MODERATE
360,6.64056,3.32429,Lower Ikeja,Ikeja,Lagos,MODERATE,LOW,MODERATE
361,12.00609,8.5617,Fagge Junction,Fagge,Kano,MODERATE,CRITICAL,LOW
362,4.81417,7.30188,Okrika Layout,Okrika,Rivers,MODERATE,LOW,HIGH
363,10.47424,7.55622,Igabi Extension,Igabi,Kaduna,MODERATE,MODERATE,MODERATE
364,6.38678,7.04272,Nnewi South GRA,Nnewi South,Anambra,MODERATE,HIGH,LOW
365,5.34075,6.39343,East Ethiope West,Ethiope West,Delta,HIGH,LOW,LOW
366,7.71737,3.77301,Ogbomosho South Quarter,Ogbomosho South,Oyo,CRITICAL,HIGH,LOW
367,12.79829,13.56575,Kala Layout,Kala-Balge,Borno,MODERATE,HIGH,LOW
368,6.13104,7.28824,Awgu Extension,Awgu,Enugu,MODERATE,HIGH,LOW
369,10.3208,4.68163,Katcha GRA,Katcha,Niger,LOW,LOW,LOW
370,9.92374,9.55389,North Quan Pan,Quan Pan,Plateau,MODERATE,HIGH,HIGH
371,6.07097,9.47634,Odukpani Village,Odukpani,Cross River,LOW,MODERATE,LOW
372,5.84238,6.94281,Ngor Okpala Layout,Ngor Okpala,Imo,MODERATE,LOW,MODERATE
373,11.46791,10.10658,Shira Extension,Shira,Bauchi,HIGH,LOW,LOW
374,6.70954,7.75514,Apa GRA,Apa,Benue,MODERATE,HIGH,MODERATE
375,5.19924,7.61373,Greater Uyo,Uyo,Akwa Ibom,LOW,CRITICAL,MODERATE
376,9.39831,10.95128,Wukari Estate,Wukari,Taraba,HIGH,MODERATE,MODERATE
377,11.28827,5.94761,Yauri Layout,Yauri,Kebbi,MODERATE,MODERATE,HIGH
378,12.62385,5.88731,Dange Extension,Dange-Shuni,Sokoto,LOW,LOW,LOW
379,11.8378,6.881,Bungudu GRA,Bungudu,Zamfara,LOW,CRITICAL,LOW
380,6.33317,3.54126,North Kosofe,Kosofe,Lagos,MODERATE,HIGH,CRITICAL
381,11.83769,8.46032,Kumbotso Quarter,Kumbotso,Kano,MODERATE,CRITICAL,HIGH
382,4.73222,7.37425,Oyigbo Layout,Oyigbo,Rivers,LOW,LOW,CRITICAL
383,11.0731,7.39158,Sanga Extension,Sanga,Kaduna,CRITICAL,MODERATE,MODERATE
384,6.14399,6.71838,Aguata GRA,Aguata,Anambra,MODERATE,LOW,LOW
385,5.69149,5.7048,New Isoko North,Isoko North,Delta,LOW,HIGH,HIGH
386,7.52702,3.90529,Akinyele Village,Akinyele,Oyo,MODERATE,LOW,HIGH
387,11.78083,14.37776,Guzamala Layout,Guzamala,Borno,HIGH,MODERATE,HIGH
388,6.07333,7.7978,Ezeagu Extension,Ezeagu,Enugu,MODERATE,MODERATE,HIGH
389,10.68629,5.86081,Edati GRA,Edati,Niger,LOW,HIGH,HIGH
390,8.58302,9.32569,Upper Jos North,Jos North,Plateau,LOW,LOW,HIGH
391,5.39068,8.89186,Calabar South Community,Calabar South,Cross River,HIGH,CRITICAL,CRITICAL
392,5.58311,7.27618,Owerri West Layout,Owerri West,Imo,CRITICAL,CRITICAL,CRITICAL
393,9.88332,10.03925,Toro Extension,Toro,Bauchi,MODERATE,HIGH,HIGH
394,7.67966,8.55482,Vandeikya GRA,Vandeikya,Benue,MODERATE,LOW,HIGH
395,4.87688,7.76897,Outer Etinan,Etinan,Akwa Ibom,MODERATE,MODERATE,LOW
396,8.37865,11.51376,Lau Camp,Lau,Taraba,LOW,HIGH,LOW
397,10.62484,4.76475,Gwandu Layout,Gwandu,Kebbi,CRITICAL,LOW,HIGH
398,13.41443,5.03266,Isa Extension,Isa,Sokoto,CRITICAL,HIGH,LOW
399,12.4265,7.35782,Maru GRA,Maru,Zamfara,CRITICAL,MODERATE,CRITICAL
400,6.47313,3.2981,Central Ikorodu,Ikorodu,Lagos,CRITICAL,HIGH,MODERATE
401,11.93544,8.45934,Bebeji Camp,Bebeji,Kano,MODERATE,HIGH,MODERATE
402,4.90075,7.21974,Ahoada East Layout,Ahoada East,Rivers,CRITICAL,LOW,CRITICAL
403,10.64067,7.72273,Ikara Extension,Ikara,Kaduna,MODERATE,MODERATE,LOW
404,6.35594,7.19725,Anaocha GRA,Anaocha,Anambra,MODERATE,MODERATE,LOW
405,5.47318,6.00613,East Warri South,Warri South,Delta,MODERATE,LOW,MODERATE
406,7.45994,4.2119,Ibadan South Market,Ibadan South-East,Oyo,LOW,LOW,HIGH
407,12.16674,14.56725,Konduga Layout,Konduga,Borno,CRITICAL,LOW,LOW
408,6.50867,7.66004,Igbo Extension,Igbo-Eze North,Enugu,HIGH,MODERATE,HIGH
409,10.74915,4.91884,Suleja GRA,Suleja,Niger,MODERATE,LOW,CRITICAL
410,9.72044,8.87162,New Bassa,Bassa,Plateau,LOW,LOW,LOW
411,6.51652,9.20092,Etung Town,Etung,Cross River,MODERATE,MODERATE,MODERATE
412,5.74112,7.22489,Ideato North Layout,Ideato North,Imo,MODERATE,MODERATE,LOW
413,10.318,9.43223,Kirfi Extension,Kirfi,Bauchi,CRITICAL,MODERATE,MODERATE
414,7.04297,8.66067,Tarka GRA,Tarka,Benue,MODERATE,MODERATE,HIGH
415,4.90886,7.81854,Outer Mbo,Mbo,Akwa Ibom,MODERATE,MODERATE,HIGH
416,8.50047,10.91735,Zing Market,Zing,Taraba,MODERATE,HIGH,MODERATE
417,11.93082,3.94523,Shanga Layout,Shanga,Kebbi,MODERATE,MODERATE,LOW
418,13.1845,5.68321,Silame Extension,Silame,Sokoto,CRITICAL,MODERATE,LOW
419,12.02965,6.70872,Bukkuyum GRA,Bukkuyum,Zamfara,MODERATE,LOW,HIGH
420,6.30653,3.62088,Upper Ikeja,Ikeja,Lagos,MODERATE,LOW,LOW
421,12.09765,8.6934,Fagge Market,Fagge,Kano,LOW,CRITICAL,LOW
422,4.79112,7.10076,Okrika Layout,Okrika,Rivers,HIGH,HIGH,CRITICAL
423,10.77904,7.88242,Igabi Extension,Igabi,Kaduna,CRITICAL,MODERATE,HIGH
424,6.23794,6.94238,Nnewi South GRA,Nnewi South,Anambra,MODERATE,HIGH,CRITICAL
425,5.36456,5.60553,West Ethiope West,Ethiope West,Delta,MODERATE,LOW,MODERATE
426,7.37852,3.85032,Ogbomosho South Market,Ogbomosho South,Oyo,MODERATE,CRITICAL,LOW
427,11.72054,13.64243,Kala Layout,Kala-Balge,Borno,MODERATE,LOW,CRITICAL
428,6.54582,7.58309,Awgu Extension,Awgu,Enugu,MODERATE,LOW,MODERATE
429,8.74844,7.00814,Katcha GRA,Katcha,Niger,MODERATE,LOW,HIGH
430,9.46658,9.9288,Inner Quan Pan,Quan Pan,Plateau,MODERATE,MODERATE,MODERATE
431,6.42981,8.22443,Odukpani Estate,Odukpani,Cross River,CRITICAL,MODERATE,LOW
432,5.72922,6.96735,Ngor Okpala Layout,Ngor Okpala,Imo,HIGH,CRITICAL,MODERATE
433,9.90709,10.68042,Shira Extension,Shira,Bauchi,HIGH,LOW,LOW
434,7.94621,7.75131,Apa GRA,Apa,Benue,HIGH,LOW,LOW
435,4.73124,7.92366,South Uyo,Uyo,Akwa Ibom,MODERATE,MODERATE,MODERATE
436,8.71241,12.19621,Wukari Settlement,Wukari,Taraba,LOW,HIGH,CRITICAL
437,12.49284,5.30317,Yauri Layout,Yauri,Kebbi,MODERATE,MODERATE,LOW
438,13.4479,4.71358,Dange Extension,Dange-Shuni,Sokoto,CRITICAL,MODERATE,MODERATE
439,13.4028,6.93052,Bungudu GRA,Bungudu,Zamfara,MODERATE,CRITICAL,MODERATE
440,6.37997,3.4135,North Kosofe,Kosofe,Lagos,CRITICAL,MODERATE,LOW
441,11.81774,8.80988,Kumbotso Camp,Kumbotso,Kano,CRITICAL,HIGH,CRITICAL
442,5.04427,7.30498,Oyigbo Layout,Oyigbo,Rivers,LOW,MODERATE,HIGH
443,10.80115,7.72524,Sanga Extension,Sanga,Kaduna,LOW,HIGH,LOW
444,6.2595,6.97436,Aguata GRA,Aguata,Anambra,CRITICAL,HIGH,MODERATE
445,5.57986,5.7164,North Isoko North,Isoko North,Delta,CRITICAL,HIGH,LOW
446,8.15943,3.90157,Akinyele District,Akinyele,Oyo,HIGH,MODERATE,LOW
447,13.26378,14.4597,Guzamala Layout,Guzamala,Borno,LOW,MODERATE,HIGH
448,6.55618,7.75381,Ezeagu Extension,Ezeagu,Enugu,MODERATE,MODERATE,LOW
449,10.03749,5.42603,Edati GRA,Edati,Niger,HIGH,HIGH,LOW
450,9.30089,9.7499,Lower Jos North,Jos North,Plateau,CRITICAL,CRITICAL,LOW
451,6.64944,9.44816,Calabar South Town,Calabar South,Cross River,MODERATE,LOW,MODERATE
452,5.73479,7.2406,Owerri West Layout,Owerri West,Imo,MODERATE,MODERATE,LOW
453,9.91158,9.99496,Toro Extension,Toro,Bauchi,CRITICAL,LOW,HIGH
454,7.66491,8.32418,Vandeikya GRA,Vandeikya,Benue,HIGH,HIGH,CRITICAL
455,4.50498,7.4554,South Etinan,Etinan,Akwa Ibom,LOW,HIGH,HIGH
456,8.94945,10.08037,Lau Village,Lau,Taraba,CRITICAL,CRITICAL,HIGH
457,11.91029,4.98136,Gwandu Layout,Gwandu,Kebbi,MODERATE,MODERATE,CRITICAL
458,12.9703,5.74894,Isa Extension,Isa,Sokoto,HIGH,LOW,MODERATE
459,12.01707,7.0362,Maru GRA,Maru,Zamfara,MODERATE,LOW,HIGH
460,6.36321,3.26954,North Ikorodu,Ikorodu,Lagos,CRITICAL,MODERATE,MODERATE
461,12.34632,8.51572,Bebeji Village,Bebeji,Kano,MODERATE,MODERATE,MODERATE
462,4.93045,7.01162,Ahoada East Layout,Ahoada East,Rivers,LOW,HIGH,MODERATE
463,10.78064,7.99008,Ikara Extension,Ikara,Kaduna,MODERATE,LOW,LOW
464,6.11123,7.0362,Anaocha GRA,Anaocha,Anambra,HIGH,HIGH,CRITICAL
465,5.59099,6.16046,Lower Warri South,Warri South,Delta,LOW,LOW,LOW
466,7.76731,3.86171,Ibadan South District,Ibadan South-East,Oyo,HIGH,LOW,HIGH
467,12.87621,14.09208,Konduga Layout,Konduga,Borno,CRITICAL,MODERATE,MODERATE
468,6.20766,7.37768,Igbo Extension,Igbo-Eze North,Enugu,MODERATE,HIGH,MODERATE
469,10.59467,4.68018,Suleja GRA,Suleja,Niger,LOW,CRITICAL,MODERATE
470,9.3369,9.99118,Greater Bassa,Bassa,Plateau,LOW,HIGH,LOW
471,6.49945,8.96072,Etung Quarter,Etung,Cross River,MODERATE,LOW,HIGH
472,5.42686,6.92954,Ideato North Layout,Ideato North,Imo,MODERATE,MODERATE,CRITICAL
473,11.13914,9.66882,Kirfi Extension,Kirfi,Bauchi,MODERATE,MODERATE,CRITICAL
474,7.44902,7.96492,Tarka GRA,Tarka,Benue,CRITICAL,MODERATE,HIGH
475,4.85919,7.9793,Central Mbo,Mbo,Akwa Ibom,CRITICAL,LOW,MODERATE
476,8.63036,11.44233,Zing Camp,Zing,Taraba,LOW,LOW,HIGH
477,11.79795,5.04562,Shanga Layout,Shanga,Kebbi,MODERATE,HIGH,MODERATE
478,12.78604,5.38868,Silame Extension,Silame,Sokoto,MODERATE,MODERATE,LOW
479,11.51437,5.86269,Bukkuyum GRA,Bukkuyum,Zamfara,LOW,LOW,CRITICAL
480,6.69428,3.27792,Outer Ikeja,Ikeja,Lagos,MODERATE,LOW,MODERATE
481,11.88089,8.34066,Fagge Quarter,Fagge,Kano,MODERATE,MODERATE,HIGH
482,4.91437,7.11681,Okrika Layout,Okrika,Rivers,MODERATE,LOW,MODERATE
483,10.76652,7.85264,Igabi Extension,Igabi,Kaduna,HIGH,MODERATE,MODERATE
484,6.36983,6.90157,Nnewi South GRA,Nnewi South,Anambra,CRITICAL,LOW,HIGH
485,5.41036,5.78685,Border Ethiope West,Ethiope West,Delta,HIGH,HIGH,MODERATE
486,7.34132,4.13388,Ogbomosho South District,Ogbomosho South,Oyo,CRITICAL,MODERATE,LOW
487,13.6938,13.08298,Kala Layout,Kala-Balge,Borno,LOW,MODERATE,MODERATE
488,6.09926,7.47262,Awgu Extension,Awgu,Enugu,CRITICAL,LOW,HIGH
489,10.8855,5.53139,Katcha GRA,Katcha,Niger,LOW,MODERATE,LOW
490,9.87428,8.8281,New Quan Pan,Quan Pan,Plateau,LOW,MODERATE,MODERATE
491,5.4177,8.10477,Odukpani Town,Odukpani,Cross River,MODERATE,MODERATE,HIGH
492,5.78246,7.0867,Ngor Okpala Layout,Ngor Okpala,Imo,LOW,HIGH,CRITICAL
493,10.79629,10.92015,Shira Extension,Shira,Bauchi,LOW,MODERATE,CRITICAL
494,8.26282,8.58446,Apa GRA,Apa,Benue,MODERATE,MODERATE,MODERATE
495,4.53106,7.3993,Outer Uyo,Uyo,Akwa Ibom,HIGH,CRITICAL,CRITICAL
496,8.54665,10.94225,Wukari Settlement,Wukari,Taraba,HIGH,MODERATE,LOW
497,10.74899,5.22477,Yauri Layout,Yauri,Kebbi,CRITICAL,LOW,MODERATE
498,13.75448,5.2362,Dange Extension,Dange-Shuni,Sokoto,LOW,LOW,CRITICAL
499,12.92159,6.61683,Bungudu GRA,Bungudu,Zamfara,MODERATE,LOW,CRITICAL
500,6.6788,3.59566,Outer Kosofe,Kosofe,Lagos,LOW,MODERATE,HIGH
